善通寺	34.224812	133.774216	3.8	香川県善通寺市善通寺町3-3-1
金倉寺	34.249950	133.781036	3.9	香川県善通寺市金蔵寺町1160
道隆寺	34.276657	133.762756	7.6	香川県仲多度郡多度津町北鴨1-3-30
郷照寺	34.306805	133.824463	6.7	香川県綾歌郡宇多津町西町1435
高照院	34.311375	133.882904	7.8	香川県坂出市西庄町1713-2
国分寺	34.303120	133.944794	7.7	香川県高松市国分寺町国分2065
白峰寺	34.333652	133.926727	5.7	香川県坂出市青海町2635
根香寺	34.344326	133.960754	14.1	香川県高松市中山町1506
一宮寺	34.286442	134.026611	15.1	香川県高松市一宮町607
屋島寺	34.357803	134.101257	7.6	香川県高松市屋島東町1808
八栗寺	34.358677	134.140976	8.1	香川県高松市牟礼町牟礼3416
志度寺	34.324085	134.179642	7.1	香川県さぬき市志度1102
長尾寺	34.266418	134.171722	15.6	香川県さぬき市長尾西653
大窪寺	34.191223	134.206741	0	香川県さぬき市多和字兼割96
