甲山寺	善通寺市弘田町１７６５－１	N34.13.47	E133.46.06	1.8
善通寺	善通寺市善通寺町３－３－１	N34.13.18	E133.46.36	3.8
金倉寺	善通寺市金蔵寺町１１６０	N34.14.48	E133.47.01	3.9
道隆寺	多度津町大字北鴨１４	N34.16.24	E133.45.55	7.6
郷照寺	宇多津町西町東１４３５	N34.18.12	E133.49.38	6.7
天皇寺高照院	坂出市西庄町１７１３－２	N34.18.29	E133.53.07	7.8
国分寺	国分寺町国分２０６５	N34.17.59	E133.56.48	7.7
白峰寺	坂出市青海２６３５	N34.19.48	E133.55.46	5.7
根香寺	高松市中山町１５０６	N34.20.28	E133.57.47	14.1
一宮寺	高松市一宮町６０７	N34.17.00	E134.01.45	15.1
屋島寺	高松市屋島東町１８０８	N34.21.16	E134.06.14	7.6
八栗寺	牟礼町大字牟礼３４１６	N34.21.23	E134.08.31	8.1
志度寺	さぬき市志度町１１０２	N34.19.12	E134.10.55	7.1
長尾寺	さぬき市長尾町西６５３	N34.15.48	E134.10.27	15.6
大窪寺	さぬき市多和字兼割９６	N34.11.17	E134.12.34	0
